,Titlu,Titlu2,Autor,Nationalitate,GenWiki
0,Sarea în bucate,Sarea în bucate,Petre Ispirescu,Nationala,povesti
1,Luceafărul (Eminescu),Luceafărul,Mihai Eminescu,Romana,poezie
2,Lanțul slăbiciunilor,Lanțul slăbiciunilor,Ion Luca Caragiale,Nationala,proza
3,Stan Bolovan,Stan Bolovan,Ioan Slavici,Nationala,povesti
4,Deodată eu...,Deodată eu...,Heinrich Heine,Germana,poezie
5,Marele căpitan,Marele căpitan,Anton Bacalbașa,Romana,pamflet
6,Valea Albă,Valea Albă,Gheorghe Asachi,Nationala,proza
7,O viață de om așa cum a fost/Catastrofa războiului,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
8,"Poeți, cântați!","Poeți, cântați!",Anton Bacalbașa,Romana,pamflet
9,Și de-ar cunoaște...,Și de-ar cunoaște..,Heinrich Heine,Germana,poezie
10,Acul de cârpit,Acul de cârpit,Hans Christian Andersen,Daneze,povesti
11,Povestea unei mame,Povestea unei mame,Hans Christian Andersen,Daneze,povesti
12,Justiția română,Justiția română,Ion Luca Caragiale,Nationala,proza
13,Răzvan și Vidra,Răzvan și Vidra,Bogdan Petriceicu Hasdeu,Nationala,teatru
14,Remember (Mateiu Caragiale),Remember,Mateiu Caragiale,Romana,proza
15,Luceafăr,Luceafăr,Duiliu Zamfirescu,Romana,proza
16,"O, rămâi...","O, rămâi...",Mihai Eminescu,Romana,poezie
17,Tragedia Omului/Tabloul XII - În falanster,Tragedia Omului,Imre Madách,Maghiara,poezie
18,Alina-Linda,Alina-Linda,Duiliu Zamfirescu,Romana,proza
19,Tragedia Omului/Tabloul XIII - În haos,Tragedia Omului,Imre Madách,Maghiara,poezie
20,Începem,Începem,Ion Luca Caragiale,Nationala,comedie
21,Dedicație (Duiliu Zamfirescu),Dedicație,Duiliu Zamfirescu,Romana,proza
22,Tragedia Omului/Tabloul XIV - În ținuturi de gheață,Tragedia Omului,Imre Madách,Maghiara,poezie
23,Tragedia Omului/Tabloul IX - La Paris,Tragedia Omului,Imre Madách,Maghiara,poezie
24,"Tragedia Omului/Tabloul X - La Praga, 2",Tragedia Omului,Imre Madách,Maghiara,poezie
25,Tragedia Omului/Tabloul XV - Afară din paradis,Tragedia Omului,Imre Madách,Maghiara,poezie
26,Groaznica sinucidere din Strada Fidelității,Groaznica sinucidere din Strada Fidelității.,Ion Luca Caragiale,Nationala,proza
27,O soacră,O soacră,Ion Luca Caragiale,Nationala,comedie
28,Tragedia Omului/Tabloul III - Afară din paradis,Tragedia Omului,Imre Madách,Maghiara,poezie
29,De la villa Tusculana,De la villa Tusculana,Duiliu Zamfirescu,Romana,proza
30,Tragedia Omului/Tabloul V - În Atena,Tragedia Omului,Imre Madách,Maghiara,poezie
31,Tragedia Omului/Tabloul VII - În Bizanț,Tragedia Omului,Imre Madách,Maghiara,poezie
32,Tragedia Omului/Tabloul IV - În Egipt,Tragedia Omului,Imre Madách,Maghiara,poezie
33,Tragedia Omului/Tabloul XI - La Londra,Tragedia Omului,Imre Madách,Maghiara,poezie
34,Tragedia Omului/Tabloul VIII - La Praga,Tragedia Omului,Imre Madách,Maghiara,poezie
35,Tragedia Omului/Tabloul I - În cer,Tragedia Omului,Imre Madách,Maghiara,poezie
36,Tragedia Omului/Tabloul II - În paradis,Tragedia Omului,Imre Madách,Maghiara,poezie
37,Făt-Frumos din tei,Făt-Frumos din tei,Mihai Eminescu,Romana,poezie
38,Strigoii,Strigoii,Mihai Eminescu,Romana,poezie
39,Limir-Împărat,Limir-Împărat,Ioan Slavici,Nationala,povesti
40,Florița din codru,Florița din codru,Ioan Slavici,Nationala,povesti
41,Doi feți cu stea în frunte,Doi feți cu stea în frunte,Ioan Slavici,Nationala,povesti
42,Situațiunea,Situațiunea,Ion Luca Caragiale,Nationala,proza
43,Greuceanu,Greuceanu,Petre Ispirescu,Nationala,povesti
44,Voinicul cel cu cartea în mână născut,Voinicul cel cu cartea în mână născut,Petre Ispirescu,Nationala,povesti
45,Cotoșman năzdrăvanu,Cotoșman năzdrăvanu,Petre Ispirescu,Nationala,povesti
46,Cei trei frați împărați,Cei trei frați împărați,Petre Ispirescu,Nationala,povesti
47,Înșir-te mărgăritari,Înșir-te mărgăritari,Petre Ispirescu,Nationala,povesti
48,Cele douăsprezece fete de împărat și palatul cel fermecat,Cele douăsprezece fete de împărat și palatul cel fermecat,Petre Ispirescu,Nationala,povesti
